socket2                            ,45847463   ,6383010   ,2.92
num_cpus                           ,25712057   ,3570030   ,2.93
rustc_version                      ,34519447   ,4794288   ,2.93
siphasher                          ,25561781   ,3543126   ,2.93
tower-service                      ,29916777   ,4141631   ,2.93
unicode-bidi                       ,18923734   ,2620201   ,2.93
windows-targets                    ,48728171   ,6749458   ,2.93
windows_x86_64_msvc                ,50430440   ,6985336   ,2.93
async-trait                        ,31075876   ,4297327   ,2.94
byte-slice-cast                    ,3396765    ,469981    ,2.94
enum-iterator                      ,2828774    ,391018    ,2.94
enum-iterator-derive               ,2849369    ,394279    ,2.94
scoped-tls                         ,10519276   ,1452548   ,2.94
uint                               ,3898629    ,537852    ,2.94
allocator-api2                     ,25069886   ,3453336   ,2.95
parity-scale-codec                 ,3164636    ,435964    ,2.95
paste                              ,27525977   ,3785963   ,2.95
phf_macros                         ,12818903   ,1767103   ,2.95
sharded-slab                       ,25007748   ,3441206   ,2.95
async-process                      ,8251893    ,1131501   ,2.96
bitmaps                            ,2655907    ,364759    ,2.96
curl                               ,2033395    ,278869    ,2.96
instant                            ,15951880   ,2187826   ,2.96
normalize-line-endings             ,4997072    ,684925    ,2.96
colored                            ,12957340   ,1773557   ,2.97
mime_guess                         ,13162956   ,1802573   ,2.97
new_debug_unreachable              ,9939356    ,1357572   ,2.97
password-hash                      ,5315095    ,728183    ,2.97
safemem                            ,1422639    ,194567    ,2.97
unindent                           ,13482654   ,1844121   ,2.97
ahash                              ,37667892   ,5138103   ,2.98
anes                               ,12598997   ,1717081   ,2.98
ark-std                            ,5272136    ,718636    ,2.98
ipnet                              ,27074927   ,3686576   ,2.98
lalrpop                            ,4052509    ,551768    ,2.98
overload                           ,23247347   ,3173469   ,2.98
parity-scale-codec-derive          ,3142331    ,427695    ,2.98
rand_xorshift                      ,13920387   ,1894809   ,2.98
sha1                               ,22718845   ,3095453   ,2.98
tracing-subscriber                 ,26803037   ,3652253   ,2.98
try-lock                           ,29722951   ,4045507   ,2.98
want                               ,29543723   ,4029991   ,2.98
zip                                ,14375907   ,1960752   ,2.98
ark-ff-asm                         ,5257234    ,714872    ,2.99
ark-ff-macros                      ,5257135    ,714865    ,2.99
ark-serialize                      ,5261169    ,715334    ,2.99
arrayref                           ,11720317   ,1591937   ,2.99
config                             ,6796551    ,923645    ,2.99
libm                               ,23592274   ,3208271   ,2.99
openssl                            ,20643566   ,2804171   ,2.99
ark-ff                             ,5249133    ,710834    ,3.00
foreign-types                      ,22302516   ,3022010   ,3.00
foreign-types-shared               ,22306873   ,3022260   ,3.00
similar                            ,10716471   ,1450770   ,3.00
windows_aarch64_msvc               ,48307229   ,6539088   ,3.00
windows_i686_gnu                   ,48198664   ,6524919   ,3.00
windows_i686_msvc                  ,48288219   ,6548594   ,3.00
windows_x86_64_gnu                 ,48721853   ,6598464   ,3.00
env_logger                         ,31294602   ,4222612   ,3.01
fiat-crypto                        ,5295575    ,713659    ,3.01
